4.2	0.013915693
4.3	0.013543254
4.4	0.013204672
4.5	0.013543254
4.6	0.013780261
4.7	0.014220416
4.8	0.013881835
4.9	0.013814119
5	0.013780261
5.1	0.013814119
5.2	0.013814119
5.3	0.013847977
5.4	0.013814119
5.5	0.013814119
5.6	0.013847977
5.7	0.013780261
5.8	0.013949551
5.9	0.013712544
6	0.013814119
6.1	0.013780261
6.2	0.013780261
6.3	0.013881835
6.4	0.013881835
6.5	0.013712544
6.6	0.013915693
6.7	0.013814119
6.8	0.013746403
6.9	0.013746403
7	0.013847977
7.1	0.01361097
7.2	0.013678686
7.3	0.013814119
7.4	0.013712544
7.5	0.013373963
7.7	0.013644828
7.8	0.013712544
7.9	0.013814119
8	0.013543254
8.1	0.013712544
8.2	0.01398341
8.3	0.013644828
8.4	0.013712544
8.5	0.013373963
8.6	0.013543254
8.7	0.013814119
8.8	0.013035382
8.9	0.013881835
9	0.013543254
9.2	0.013881835
9.4	0.013543254
9.6	0.013881835
9.7	0.013373963
9.8	0.013543254
10	0.013373963
10.1	0.013543254
10.5	0.013204672
10.6	0.013543254
10.8	0.013373963
10.9	0.013543254
11	0.013373963
11.2	0.013373963
11.3	0.013881835
11.4	0.013543254
11.5	0.013373963
11.6	0.012866091
11.7	0.013035382
11.8	0.013712544
11.9	0.013373963
12.1	0.013373963
12.2	0.013543254
12.3	0.013373963
12.4	0.013712544
12.6	0.013373963
12.7	0.013712544
12.9	0.013543254
13.3	0.013543254
13.5	0.013373963
13.7	0.013204672
13.9	0.013712544
14.2	0.013712544
14.4	0.013204672
14.6	0.013712544
14.8	0.013373963
15.1	0.013712544
15.4	0.013712544
15.6	0.013543254
15.8	0.013373963
16.1	0.013712544
16.3	0.013543254
16.5	0.013543254
16.7	0.013712544
16.8	0.014051126
16.9	0.013543254
17.1	0.013543254
17.2	0.013881835
17.6	0.013373963
17.7	0.013543254
17.9	0.013543254
18	0.013881835
18.1	0.014051126
18.2	0.013712544
18.3	0.013949551
18.4	0.01398341
18.5	0.013881835
18.6	0.013881835
18.8	0.013881835
19.1	0.014389707
20.4	0.014051126
21.5	0.014558998
22.7	0.014897579
24.2	0.015405451
25.6	0.016251905
27.3	0.017944811
29	0.019637718
30.8	0.021669206
32.5	0.024377857
34.3	0.02759438
36	0.030641612
37.7	0.034196716
39.4	0.038428983
40.9	0.042491959
42.4	0.047062807
44	0.051802946
45.4	0.056204503
46.9	0.061960386
48.3	0.067208397
49.7	0.072117826
52.8	0.084983917
54	0.090401219
55.3	0.095987811
56.5	0.101574403
57.7	0.107668867
58.8	0.11325546
59.9	0.118672761
61	0.124428644
62.1	0.130015236
63.2	0.135601828
64.2	0.140511258
65.2	0.146267141
66.3	0.151684442
67.3	0.156932453
68.2	0.162519045
69.1	0.167936347
70.1	0.172676486
71	0.177416624
71.8	0.182495345
72.6	0.186558321
74.4	0.196715761
75.1	0.200270865
75.8	0.20399526
76.4	0.208058236
77.1	0.211274759
77.7	0.214321991
78.3	0.217877095
78.9	0.221262908
79.4	0.224648722
80	0.227018791
80.5	0.230235314
81	0.232266802
81.5	0.235314034
82	0.238191976
82.4	0.240900626
82.9	0.243101405
83.3	0.245471475
83.8	0.248010835
84.2	0.250550195
84.8	0.252920264
85.7	0.258845438
86.1	0.260876926
86.5	0.263077704
86.9	0.26460132
87.2	0.267140681
87.6	0.268664297
87.9	0.270357203
88.3	0.272219401
88.6	0.274250889
89	0.276113086
89.3	0.277975284
89.6	0.27966819
90	0.281530388
90.4	0.283223294
90.7	0.285593364
91	0.287286271
91.4	0.289317759
91.8	0.291349247
92.2	0.293211444
92.6	0.295581513
93.3	0.300321652
93.7	0.301845268
94.1	0.303876756
94.4	0.306246826
94.8	0.308109023
95.2	0.309971221
95.5	0.312171999
95.9	0.314203487
96.3	0.316912138
96.7	0.318774336
97.1	0.320636533
97.5	0.323345184
97.9	0.325376672
98.3	0.32757745
98.7	0.329778229
99.1	0.332148299
99.5	0.334687659
99.9	0.336888437
100.3	0.339089216
100.8	0.341120704
101.8	0.346538006
102.2	0.348908075
102.7	0.351278145
103.1	0.353986795
103.6	0.356356865
104.1	0.358726934
104.5	0.361604876
105.1	0.363974945
105.5	0.366345014
106	0.369222956
106.6	0.371762316
107.1	0.374301676
107.6	0.377179617
108.1	0.379718977
108.7	0.382089047
109.3	0.384797698
109.9	0.38801422
110.4	0.39055358
111.1	0.393600813
111.7	0.395801591
112.9	0.4029118
113.5	0.40562045
114.1	0.408498392
114.7	0.411376333
115.3	0.414254275
115.9	0.417470797
116.5	0.420179448
117.1	0.42322668
117.8	0.426612494
118.4	0.429659726
119	0.432368377
119.7	0.435415609
120.4	0.438632131
121	0.441679363
121.6	0.444049433
122.2	0.446927374
122.9	0.449974606
123.5	0.453021838
124.2	0.456576943
124.9	0.459285593
126.4	0.466565092
127	0.469612324
127.7	0.472320975
128.4	0.475537498
129	0.47858473
129.7	0.482139834
130.4	0.485017776
131	0.487895717
131.7	0.490604368
132.4	0.4936516
133	0.496529541
133.7	0.499576773
134.3	0.502454715
135	0.505840528
135.6	0.50871847
136.3	0.51142712
137	0.514474352
137.7	0.517183003
138.4	0.520568817
139.1	0.522938886
140.9	0.53157271
141.6	0.535127814
142.4	0.538005756
143.1	0.541052988
143.9	0.544438801
144.7	0.547993906
145.5	0.55154901
146.3	0.554596242
147.1	0.558151346
147.9	0.562045031
148.7	0.565092263
149.6	0.568478077
150.5	0.572541053
151.3	0.575926866
152.2	0.579989843
153.1	0.583206365
154	0.587100051
154.9	0.590824446
155.8	0.594887422
